cutoff_dir,cutoff_date,published_crps,bundle_class,support_start,support_end,retrospective_available_start,retrospective_full_history_available,plot_start,plot_end,forecast_start_date,display_scale,selected_run_internal_analysis_scale,figure_name,article_bundle_path,sha256,bytes
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,usgs.png,artifacts/five_cutoff_setup_support/20210123_exal_m_t1/figures/usgs.png,8885915421c410599ef3a8f980330ea1f83252f0779edf994c1c98837c7a3e51,1272134
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,artifacts/five_cutoff_setup_support/20210123_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,675e56b8293a614544cccd1d7b83f3d314dc479c5ba2406ad20d7d2ab811330b,2057178
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,artifacts/five_cutoff_setup_support/20210123_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,604b21538c36283b1462cbac87301641d71b6f51c8a5ab9274c5ba331f4adb94,653742
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,forecats.png,artifacts/five_cutoff_setup_support/20210123_exal_m_t1/figures/forecats.png,e823a070fde4f4cbd57bdf5e4deefe043386ff6c6040e5925167a571c59d2352,920375
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,usgs.png,artifacts/five_cutoff_setup_support/20211112_exal_m_t1/figures/usgs.png,f56d8d9fc5cc6036365045649044939798e17f5736056e0c694e48ff6b01f07d,1269123
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,artifacts/five_cutoff_setup_support/20211112_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,5ee98f93c9fdaeb1688d6e72854d50e5f990072e1122fba290185f19d12f9e66,2063130
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,artifacts/five_cutoff_setup_support/20211112_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,37107551fef198abf60bf295becddee082f4ca5a4998d581a915fa5eaf1adfde,639260
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,forecats.png,artifacts/five_cutoff_setup_support/20211112_exal_m_t1/figures/forecats.png,6b3a1971d55843ca39c98d35025396bcd0a5635ba476655a20db0c091972d624,324322
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,usgs.png,artifacts/five_cutoff_setup_support/20211221_exal_m_t1/figures/usgs.png,aca21f95c09c2074d62867f402ee8eff1cab542c7f7f3ba89d61152db36a2ac2,1273169
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,artifacts/five_cutoff_setup_support/20211221_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,b8312a521067b55f43983f6b28bd2d7f5b1d3aad372ead062a9291130aeb6f5c,2068596
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,artifacts/five_cutoff_setup_support/20211221_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,b3cbe9c8927bbe2c4702e283ffe7c0c01a27b4348c83bfcb8098c363f984efcd,1909283
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,forecats.png,artifacts/five_cutoff_setup_support/20211221_exal_m_t1/figures/forecats.png,10708eef3b61a49ea07adce13b777905aa58fbcb04c3e5f02a4201bd95fecd22,584645
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,usgs.png,artifacts/five_cutoff_setup_support/20220511_exal_m_t1/figures/usgs.png,ab33afa7fccb440b9f07e6dd9fd9bab8306088a15234f997221115368c505970,1274628
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,artifacts/five_cutoff_setup_support/20220511_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,a3b38dfd5feac941dbed20e2df83c1673288e448532e667f4a351beb1a913ed2,2074284
